"STUID","YEAR","GENDER","RACETHN","MAJOR","DISTANCE","HS_GPA","COLLEGE_GPA","FIRST_GEN","ACT01","ACT02","ACT03","ACT04","ACT05","ACT06","ACT07","ACT08","ACT09","ACT10","ACT11","ACT12","ACT13","RATE1","RATE2","RATE3","RATE4","RATE5","RATE6","RATE7","AGREE_01","AGREE_02","AGREE_03","AGREE_04","AGREE_05","AGREE_06","AGREE_07","AGREE_08","AGREE_09"
"WDaX50","2014","female",6,"5","5",5,5,"1",1,1,3,2,3,1,1,1,1,3,1,2,1,2,1,1,2,1,2,1,2,2,2,4,4,2,1,4,2
"04eAwU","2015","female",6,"3","5",4,3,"1",1,1,1,2,1,1,3,1,1,2,1,1,1,1,4,2,1,1,2,3,1,1,2,3,2,1,4,1,4
"PeYUq0","2014","female",6,"3","3",8,4,"1",2,1,1,1,1,1,1,1,1,3,1,1,2,1,2,1,3,2,3,1,1,1,2,2,2,2,1,1,4
"5TA8nT","2015","male",6,"6","5",8,8,"1",1,2,1,1,1,2,2,2,2,1,1,2,1,2,4,2,1,1,1,2,2,3,2,1,1,3,2,3,3
"Ec4ZDl","2013","male",4,"3","1",8,3,"1",3,1,2,1,3,1,1,1,1,2,1,2,1,2,2,1,1,1,2,1,3,3,4,4,2,3,4,1,3
"35Pwl3","2013","female",6,"3","3",5,4,"1",1,1,3,2,1,1,1,2,1,1,1,1,1,3,1,2,2,4,1,2,4,1,2,1,2,3,3,1,1
"V6wplo","2013","female",6,"3","5",7,7,"1",3,1,1,1,1,3,1,1,2,1,2,1,1,1,2,2,2,2,2,2,1,1,2,1,3,3,4,2,4
"ZqgRdt","2012","male",6,"5","5",7,6,"1",2,1,1,1,1,1,3,1,1,3,1,1,3,2,1,2,2,1,2,2,2,1,4,1,2,2,3,1,1
"r1wBGj","2013","female",2,"5","5",8,4,"1",1,3,1,3,2,1,2,3,1,2,1,1,1,1,2,1,2,2,1,2,4,4,1,5,4,3,3,1,4
"wKsyd7","2013","female",6,"3","5",7,6,"1",1,2,2,1,1,1,1,2,1,1,1,3,2,1,2,4,1,2,2,2,2,3,4,1,1,5,2,3,1
"fa8ZtL","2015","male",3,"4","4",6,6,"1",2,1,3,3,3,2,1,1,1,1,3,1,1,2,2,1,2,1,1,1,1,2,2,1,1,3,2,3,2
"e0uxIO","2012","female",2,"6","3",7,6,"1",2,1,1,1,1,1,1,1,1,3,1,2,2,1,2,2,1,1,4,2,1,4,1,2,4,1,1,1,1
"8yKT0P","2015","male",6,"6","5",7,6,"1",1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,2,3,1,2,2,2,2,1,2,4,1,3,3,1
"hlBEI1","2014","female",6,"5","5",8,8,"1",1,1,1,1,1,3,2,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,2,2,1,2,2,2
"b8nCw2","2015","male",3,"4","5",4,3,"1",1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,3,1,2,2,4,3,2,2,1,4,1,4,1
"PkkDAV","2012","female",6,"5","5",7,8,"1",1,1,1,1,1,3,3,3,2,2,2,3,1,2,2,2,2,4,1,4,3,1,5,4,4,3,4,2,3
"Tnvm8m","2015","female",2,"6","1",5,5,"1",1,1,1,1,1,1,1,1,1,3,1,3,1,1,2,1,1,1,2,3,3,2,4,1,1,1,4,4,1
"ANYMWt","2013","male",6,"6","4",7,6,"1",2,1,3,1,1,3,1,3,1,2,1,1,2,2,1,2,2,1,2,2,2,3,6,1,1,2,1,2,1
"ofxroH","2013","female",6,"3","1",5,5,"1",1,1,1,1,3,1,3,2,1,1,1,2,1,3,1,2,2,1,1,4,1,1,1,2,4,1,1,1,2
"e0u7Qq","2015","male",1,"5","4",6,4,"1",1,3,1,1,1,1,2,3,2,1,1,3,2,1,4,2,1,1,2,1,1,3,1,3,2,1,2,2,3
"CdMYHE","2013","female",2,"6","5",5,4,"1",1,2,1,1,2,2,1,2,1,2,2,2,1,1,2,1,1,1,1,3,3,4,2,3,5,2,3,3,2
"92Td1T","2014","male",6,"5","2",4,1,"1",1,1,1,2,2,1,3,1,1,2,1,1,2,1,1,3,1,2,4,4,1,4,2,2,1,1,4,4,3
"yvxu0T","2014","female",6,"5","5",7,7,"1",2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,3,1,2,1,2,3,1,1,1,3,2,3
"QbiqD1","2012","male",6,"5","3",8,4,"1",1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,5,1,4,2,4,4,1,3,3
"6l2Lmp","2015","male",6,"5","5",6,6,"1",1,1,1,2,1,1,1,1,1,2,1,1,2,3,4,2,1,1,2,2,1,1,1,4,5,2,1,3,2
"wmYQIY","2013","female",6,"6","5",7,6,"1",1,1,2,2,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,2,5,3,5,2,1,2,1,2,4
"Yei4Cn","2013","male",2,"6","4",6,5,"1",1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,2,1,1,2,2,4,4,1,5,4,3,1,4,1
"kyFqsk","2012","male",6,"5","4",7,6,"1",2,1,1,1,2,1,1,3,2,1,1,1,3,1,1,1,4,3,4,1,2,1,1,5,4,1,1,2,2
"s7dP8d","2012","male",6,"6","4",NA,6,"2",2,2,1,1,1,1,1,1,1,2,2,1,2,1,2,3,1,1,3,2,2,2,3,2,4,2,3,4,2
"BDifpT","2012","male",7,"6","3",7,6,"1",1,1,2,1,2,1,1,1,3,2,3,1,3,3,1,2,3,1,1,2,2,4,2,2,2,1,2,4,1
"1p91NH","2013","male",6,"5","2",7,7,"1",1,1,1,1,1,1,1,1,1,2,1,1,1,3,2,2,2,4,1,2,5,4,3,1,1,4,4,2,5
"H9byng","2012","female",7,"6","6",8,3,"1",3,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,3,4,2,4,4,2,3,5,4,1,2,5,4
"mZ07Dp","2013","female",4,"4","5",8,5,"1",2,1,3,1,1,3,1,3,1,1,1,1,3,1,1,2,1,1,2,3,2,2,4,4,1,2,2,1,4
"356tDR","2015","female",7,"5",NA,6,5,"1",3,1,1,1,1,1,2,2,1,1,1,1,3,1,3,1,2,2,3,2,2,2,2,2,2,2,1,2,2
"XILBOw","2015","male",6,"5","5",6,6,"1",1,1,1,1,1,2,1,1,2,1,1,1,3,3,4,3,4,1,2,3,4,2,4,1,2,4,3,2,2
"XAdRUq","2015","female",6,"6","6",6,7,"1",3,1,1,1,1,2,1,2,1,1,2,2,3,1,3,4,2,1,2,2,4,2,5,1,1,3,2,2,1
"a5fwZp","2012","male",7,"6","1",8,5,"1",1,2,2,2,1,2,2,1,1,1,2,1,1,1,1,1,2,3,2,1,4,4,3,1,2,1,2,2,1
"4PljED","2013","female",6,"4","1",6,4,"1",1,1,1,1,1,1,2,1,2,1,1,3,2,1,4,3,1,1,2,1,1,2,1,1,2,1,2,1,2
"dK6PTI","2012","female",7,"4","5",8,6,"1",2,1,1,1,2,1,2,1,1,1,1,2,3,2,2,1,3,1,1,2,1,2,3,2,2,2,4,4,2
"x4MGLx","2015","male",7,"5","3",4,3,"1",1,1,1,1,1,3,1,3,1,1,1,1,2,1,2,2,1,3,1,2,2,1,2,5,2,1,3,2,4
"eb262R","2015","female",2,"5","5",6,4,"1",2,1,1,1,1,1,1,2,1,1,2,1,1,4,2,2,1,4,3,1,1,2,2,4,2,2,2,1,4
"WiF3GR","2012","female",6,"3","5",7,6,"1",1,1,1,2,3,1,1,1,1,1,1,1,1,2,2,1,2,1,1,3,1,1,2,1,1,4,1,2,1
"ZFoeEO","2014","male",6,"6",NA,7,7,"1",1,1,1,2,1,1,1,2,2,1,1,1,1,1,2,3,2,2,1,2,1,1,4,2,2,2,2,4,2
"lgVJ8O","2012","male",6,"6","1",NA,8,"2",1,3,1,2,3,1,2,1,2,2,1,3,1,4,1,1,1,3,1,1,4,2,4,1,2,2,1,3,3
"m5xpVo","2015","male",6,"6","4",7,6,"1",1,1,1,1,3,2,1,2,2,1,1,2,1,1,1,2,2,2,1,2,3,3,4,1,1,3,1,1,1
"CyEZ77","2012","male",4,"5","4",7,7,"1",1,2,3,2,2,1,1,1,3,1,1,3,2,1,1,2,2,1,3,2,1,1,2,1,2,2,3,2,1
"wS69mK","2013","female",2,"6","5",6,8,"1",1,1,1,2,1,1,1,1,1,3,1,1,1,2,1,3,2,1,1,1,4,3,5,1,1,2,2,1,1
"4QeVQd","2015","male",2,"6","4",7,6,"1",2,1,1,1,1,1,1,2,3,1,1,2,1,2,3,1,2,2,1,2,2,1,1,2,1,1,4,1,4
"TDDaaH","2013","male",6,"4","3",5,5,"1",1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,2,1,2,3,1,3,3,5,3,2,1,1
"vNEDNB","2012","female",6,"4","4",4,4,"1",2,1,1,1,1,2,2,1,1,1,3,1,2,1,4,1,4,1,2,2,2,2,3,1,2,3,3,4,1
"ovGbqA","2012","female",6,"3","3",8,5,"1",2,1,1,1,1,1,3,1,1,1,1,1,2,2,4,1,1,1,2,2,2,3,2,2,2,4,4,4,2
"gx1k9e","2013","female",6,"6","4",7,7,"1",2,1,3,1,1,1,1,1,1,1,1,1,1,1,2,2,4,2,1,1,1,4,2,2,2,2,1,4,4
"RKtNCM","2015","male",6,"5","3",6,5,"1",1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,2,3,4,1,1,1,1,2,2,2,1,2,2,1
"LarEtL","2012","female",4,"5","3",8,8,"1",2,2,1,1,1,1,1,3,3,2,1,1,1,2,2,2,2,1,3,1,1,5,2,2,3,2,2,2,1
"rUfoBp","2013","female",2,"6","5",7,7,"1",1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1,1,2,3,1
"kn04HM","2015","female",6,"5","3",NA,6,"2",3,1,1,1,2,1,1,2,2,1,1,1,1,2,1,4,4,1,1,2,1,2,2,2,2,1,1,1,4
"CoJ0mx","2012","female",2,"6","4",NA,7,"2",1,3,1,1,1,3,3,1,1,1,1,1,3,2,2,2,2,2,1,2,1,2,1,4,5,1,3,1,1
"ubT4SH","2012","male",3,"5","2",7,8,"1",1,2,2,1,2,1,1,1,2,2,1,1,1,4,1,4,4,2,2,2,2,1,2,4,4,2,1,2,1
"2kxgmJ","2014","female",3,"3","5",8,4,"1",1,3,1,3,1,2,1,1,1,1,1,2,1,3,3,1,1,1,1,1,1,3,2,2,2,3,3,2,1
"gf01wn","2015","female",6,"5","5",7,6,"1",1,1,1,3,1,3,1,1,1,1,1,1,2,2,1,1,1,2,3,1,1,2,3,2,1,3,1,4,3
"XXlpA2","2012","female",7,"4","4",NA,3,"2",1,1,1,1,2,2,1,2,1,1,3,1,1,1,2,1,1,2,3,2,3,4,2,3,5,3,3,2,3
"OkeHoX","2012","female",3,"3","5",7,6,"1",1,1,3,2,1,2,1,2,1,1,1,2,2,1,1,1,2,1,4,3,3,5,2,1,1,3,4,2,1
"I2UohZ","2013","female",6,"3","5",5,6,"1",1,3,1,1,1,2,1,3,1,3,1,1,1,3,2,1,2,3,1,2,1,1,1,1,4,3,1,1,1
"0vzYC6","2013","male",4,"5","4",4,4,"1",2,3,3,1,1,1,2,1,1,1,3,3,1,3,1,1,1,2,1,1,1,3,2,2,2,1,2,1,2
"Ik38DE","2012","female",4,"3","2",5,5,"1",1,1,1,3,1,1,3,1,2,2,1,1,1,1,2,1,1,2,4,1,1,2,4,2,4,2,2,1,2
"yUGwOJ","2013","male",6,"5","4",7,6,"1",1,1,1,1,2,1,1,1,3,1,1,1,1,1,2,2,2,2,1,3,2,1,1,1,2,2,4,2,4
"mIM5aV","2014","female",6,"3","5",8,4,"1",1,1,2,1,3,1,2,1,1,1,1,2,1,1,2,1,1,2,1,2,2,2,1,5,5,1,2,1,2
"LbCJun","2014","male",4,"5","3",5,5,"1",2,2,1,1,2,1,1,1,2,1,1,3,2,1,2,2,1,2,1,2,3,2,2,1,2,2,1,1,1
"9l4WOz","2015","female",6,"5","5",NA,6,"2",1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,4,2,1,1,2,1,1,1,2,1,3,4,1
"Hs3LgO","2014","female",6,"3","4",NA,6,"2",1,2,3,2,1,1,1,2,1,1,2,1,1,2,4,2,3,4,2,1,2,1,2,5,5,2,4,1,2
"8mvwOF","2014","male",4,"4","4",4,4,"1",2,2,1,1,1,1,1,2,2,1,1,1,2,2,4,2,1,2,2,2,4,3,2,2,4,4,2,4,2
"otVFfA","2012","female",1,"4","5",7,6,"1",1,1,1,1,2,3,3,1,2,1,2,1,1,2,1,2,1,4,1,1,1,2,1,1,2,2,1,2,1
"9Tfcsh","2015","female",6,"3","5",7,7,"1",2,1,1,1,3,2,3,1,1,2,1,1,2,2,3,2,1,1,2,1,2,1,1,1,4,3,4,1,4
"2p2VEf","2013","male",6,"6","5",NA,7,"2",1,1,1,1,1,1,1,2,3,1,3,1,1,2,1,1,2,4,3,1,2,2,1,3,2,2,3,2,3
"ZMdQsh","2015","female",6,"3","5",8,4,"1",1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,3,3,2,2,1,1,1,2,2,2,2,1,2
"KSK4Uk","2013","male",4,"6","5",8,8,"1",1,1,1,1,3,1,1,1,2,3,1,1,3,2,1,2,3,2,1,1,4,1,4,1,2,1,1,3,1
"CXolEU","2013","male",6,"5","3",8,3,"1",2,1,1,1,1,1,2,1,1,1,2,1,3,2,1,1,3,3,2,1,1,1,1,1,2,1,2,4,2
"38xP3l","2015","male",6,"6","5",8,6,"1",1,1,2,2,1,1,2,3,1,2,1,1,1,3,2,2,3,2,1,2,1,2,2,2,4,1,1,4,1
"fxLUVf","2015","male",6,"6","1",4,4,"1",1,1,1,2,2,1,2,3,1,2,2,3,1,2,4,1,2,2,3,2,5,3,5,2,4,2,1,3,2
"qKemtp","2013","female",4,"3","4",5,5,"1",1,1,1,2,1,1,1,1,1,3,1,1,2,1,1,4,2,2,2,2,1,1,1,1,1,3,3,1,1
"YAaeWp","2012","male",6,"5",NA,4,3,"1",2,1,1,2,1,1,1,1,1,1,1,2,1,2,1,2,2,2,3,2,1,1,2,5,4,1,2,2,1
"qZMEiG","2012","female",6,"5","4",4,3,"1",1,1,3,1,1,1,3,1,1,1,3,1,1,1,2,2,1,1,1,1,3,4,2,1,2,1,3,1,1
"700gQz","2013","female",6,"6","3",7,6,"1",2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,2,2,1,4,2,4,4,1,1,1,2,1
"iQ8OoC","2015","male",4,"6","5",6,7,"1",2,2,1,2,1,1,1,1,1,2,2,1,2,3,2,2,1,4,2,1,4,2,4,4,2,1,4,3,1
"bNyQKy","2015","female",6,"5",NA,6,6,"1",1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,2,1,2,2,4,2,2,1,2,3,1,2
"s3qDjm","2013","male",6,"6","1",6,5,"1",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,2,5,2,2,5,2,3,2,4,1
"Zo7pdU","2014","male",6,"5","1",NA,8,"2",1,3,1,2,1,1,2,1,1,2,2,1,1,1,2,2,1,1,3,2,4,1,2,5,5,4,1,2,2
"sHpPDV","2015","female",6,"3",NA,8,5,"1",1,1,1,1,1,1,3,2,2,2,3,3,3,1,2,1,1,1,2,2,2,1,2,4,4,4,1,3,4
"WVWO52","2015","male",2,"6","4",NA,6,"2",1,1,1,2,1,3,1,1,2,3,1,1,1,2,2,1,3,1,2,1,1,1,2,4,2,2,2,1,2
"erwCMd","2014","male",6,"6","5",6,5,"1",1,1,1,1,2,1,2,1,2,1,3,2,3,2,2,3,3,2,2,1,4,4,1,2,1,2,2,2,2
"Rkn9nz","2014","female",6,"5","5",7,7,"1",1,1,2,1,3,1,1,1,3,1,3,1,3,2,3,1,1,2,2,2,1,3,2,5,2,2,3,3,4
"6ZWchG","2014","female",4,"3","3",NA,8,"2",1,1,3,1,1,2,1,1,1,2,1,1,2,1,1,1,1,2,1,2,2,2,1,2,1,4,2,1,2
"C9XbdD","2015","female",6,"3","4",4,3,"1",2,2,3,2,1,3,1,1,1,2,1,3,1,2,2,1,4,2,1,3,1,1,1,2,2,2,2,1,1
"tJcy9C","2015","male",6,"6","4",NA,6,"2",2,1,1,1,3,1,1,1,3,2,2,1,1,3,3,1,1,2,1,1,4,3,1,3,1,1,1,4,1
"HNAfe8","2013","female",4,"6","5",5,5,"1",1,1,1,3,1,1,1,1,1,3,1,1,1,3,1,2,2,1,1,1,3,4,4,1,3,1,2,5,3
"hRAet3","2013","male",2,"6","3",5,4,"1",1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,5,1,4,5,4,2,1,5,4
"p40AQa","2012","male",4,"4","4",8,5,"1",1,1,1,1,1,2,1,1,2,3,1,1,1,2,1,1,1,1,1,3,1,4,2,5,4,3,1,2,2
"0J3Mgg","2012","male",6,"6","5",7,6,"1",1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,2,1,1,2,3,2,1,1,2,2,1,2
"AY8RYC","2012","male",6,"6","4",5,7,"1",1,3,1,2,1,2,1,2,1,1,1,2,1,3,2,1,1,2,1,3,1,1,2,1,2,1,1,2,2
"S8QaPN","2013","female",6,"5","5",8,5,"1",1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,2,1,3,1,1,3,1,1,2,2,1,1,2,1
"XS5rGK","2012","female",4,"3","2",7,6,"1",1,1,1,1,1,1,2,1,2,1,2,2,1,3,2,1,1,1,2,2,1,1,5,1,1,2,4,2,2
"5ro12g","2012","female",6,"3","2",8,4,"1",1,3,1,1,1,2,1,1,2,1,1,3,1,4,1,1,2,1,2,2,2,2,2,2,2,4,1,1,1
"I2mpQf","2015","female",6,"5","5",7,6,"1",2,3,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,4,1,2,4,2,1,1,2
"JKhToH","2013","female",6,"6","5",7,6,"1",1,1,1,2,2,1,1,2,1,1,1,1,3,1,2,2,1,1,3,1,3,2,4,5,2,1,1,3,4
"odQjP8","2013","male",6,"5","5",5,7,"1",3,3,1,2,1,3,1,1,2,2,2,1,1,4,2,2,1,1,1,1,2,1,1,1,2,1,4,1,2
"eaF6c8","2013","female",6,"6","4",7,8,"1",1,2,1,2,1,2,3,3,1,2,1,1,1,2,2,2,2,2,2,3,2,4,2,2,4,2,1,1,1
"ixEk3z","2014","female",6,"3","4",8,8,"1",1,1,1,1,1,2,2,3,1,2,1,2,1,2,1,2,3,1,3,1,1,3,1,3,4,3,4,1,4
"NnJaQo","2012","female",6,"5","4",8,8,"1",1,1,3,1,1,1,2,1,1,1,3,1,1,1,1,2,2,2,3,2,2,2,2,1,2,2,1,2,4
"zgI0Bb","2014","male",6,"4","3",6,6,"1",2,1,1,1,2,2,2,1,1,1,1,1,1,1,3,2,1,1,2,1,1,1,1,1,1,2,3,1,4
"e89Juo","2013","male",6,"3","5",5,7,"1",3,1,3,3,1,2,1,3,1,1,1,1,1,1,2,2,2,2,1,2,1,2,1,1,2,4,2,1,2
"usONIh","2013","female",3,"4","6",6,6,"1",1,2,1,1,1,1,1,1,1,1,1,1,2,3,1,2,4,2,4,1,2,3,4,5,4,1,3,1,1
"l3z9pF","2013","female",6,"6",NA,7,7,"1",1,2,1,1,1,1,1,2,1,1,1,1,1,3,2,2,1,2,2,2,2,4,2,3,2,1,3,2,3
"w6VOr2","2015","male",2,"6","1",4,3,"1",2,1,1,3,1,1,1,1,1,1,2,1,1,3,1,2,1,2,1,2,2,2,1,2,4,1,1,2,1
"8tTRPx","2015","male",6,"6","4",6,6,"1",1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,2,3,2,1,3,4,3,4,1,1,1,1,2,2
"JlOKh8","2014","female",2,"5","3",8,8,"1",1,1,1,1,1,1,1,1,2,1,1,1,2,3,1,1,2,2,1,2,1,1,1,2,2,1,4,2,2
"lBTreh","2015","female",2,"4","6",4,3,"1",2,1,1,1,1,1,2,1,1,2,2,3,3,1,2,1,1,1,3,1,1,2,1,2,2,3,1,2,1
"zGowwm","2013","female",6,"6","5",NA,8,"2",3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,2,2,3,1,1,2,2,4,2
"1lMaY3","2013","female",6,"3","5",6,6,"1",1,1,1,2,1,1,2,3,1,1,1,3,1,2,1,1,1,1,2,1,2,1,2,2,1,4,3,1,3
"qJ9fab","2014","female",6,"4","3",8,4,"1",1,1,1,1,1,1,1,1,1,1,3,1,1,3,2,2,3,1,2,2,1,1,3,2,1,2,2,2,1
"eseRza","2015","male",2,"6","4",7,8,"1",1,1,3,2,1,3,1,1,1,2,1,1,1,2,1,1,1,2,1,3,2,2,5,3,1,2,4,1,4
"63PyeB","2013","female",2,"6","3",7,8,"1",2,1,1,1,1,3,3,1,2,2,1,3,3,2,3,3,4,1,2,2,1,1,1,4,1,1,1,1,2
"eVhFyr","2015","male",6,"5","3",4,5,"1",1,1,1,1,3,3,1,1,1,2,1,1,2,2,2,1,2,1,2,2,2,3,2,1,2,3,2,2,1
"GVUudj","2014","female",4,"3","5",7,6,"1",2,1,3,1,2,3,1,1,2,2,2,3,1,2,2,1,2,2,1,1,2,4,1,2,2,2,4,1,1
"1u6kyc","2012","female",6,"3","5",NA,6,"2",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,4,2,3,1,2,3
"iLW0Yz","2015","male",6,"6","5",4,3,"1",1,1,3,2,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,2,5,1,5,2,1,2,1,1,2
"5VaGtZ","2014","female",6,"6","5",NA,6,"2",1,3,1,1,1,2,3,1,1,1,3,1,1,2,1,3,1,1,1,3,4,2,3,1,1,3,1,2,2
"uFYXos","2014","male",4,"6","5",7,6,"1",1,1,1,2,1,1,3,1,2,1,1,1,1,1,2,2,1,2,2,1,1,1,3,1,1,1,1,5,4
"I3lMQ6","2015","female",2,"5","4",7,6,"1",3,2,3,1,1,1,1,1,1,1,1,1,1,2,3,2,2,2,2,2,1,2,1,2,4,2,3,2,1
"CwZ2R9","2013","female",6,"5","4",7,7,"1",2,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,3,2,3,2,2,4,3,1,2,1
"sBMvXx","2014","female",6,"5","5",NA,8,"2",1,2,1,3,1,1,1,1,2,1,1,1,2,2,2,1,1,2,3,2,1,3,1,2,3,2,2,2,2
"97ni4B","2012","male",7,"4","4",7,8,"1",1,1,1,2,1,1,1,1,1,1,1,3,1,2,3,1,2,4,2,2,1,1,1,3,2,4,1,4,2
"RwdySb","2012","male",6,"3","4",5,7,"1",1,1,1,1,3,1,1,1,1,2,1,1,1,1,3,1,2,1,2,3,1,2,4,4,3,4,4,2,1
"LaQM5S","2013","female",6,"6","5",7,8,"1",2,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,2,1,2,1,5,1,2,2,1,3,1,2,3
"W6zm9d","2013","male",6,"4","4",4,3,"1",1,1,1,1,1,1,3,2,1,1,3,2,1,1,2,2,2,1,1,3,1,1,1,4,3,2,2,2,1
"IWTdys","2012","female",2,"6","5",7,8,"1",1,1,1,1,1,3,1,3,2,1,1,1,3,1,1,4,1,1,2,2,5,3,1,1,1,2,1,2,1
"bj0sKo","2014","male",4,"5","5",8,5,"1",1,1,1,1,2,1,1,3,1,2,3,1,1,3,2,2,1,3,1,1,2,2,2,2,4,1,1,1,2
"WnDDfK","2013","male",6,"6","4",NA,4,"2",1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,3,2,2,2,1,2,3,1,2,1,1,2,2,2
"YCOArr","2015","female",6,"5","5",7,7,"1",2,1,2,1,1,1,2,1,1,2,2,1,1,1,2,2,2,2,3,3,4,3,5,2,3,4,1,1,2
"FTG9NU","2013","female",6,"5","5",7,6,"1",3,3,2,1,2,2,3,2,2,1,1,2,1,1,2,3,2,2,1,2,2,1,2,1,4,1,1,1,2
"9pc2ph","2013","female",4,"6","5",7,7,"1",1,1,1,1,3,1,1,1,1,1,3,1,3,1,2,2,1,2,1,3,4,2,1,2,1,1,1,2,2
"JLrspr","2015","male",4,"5","5",7,6,"1",1,1,1,1,2,1,1,1,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,3,2,1
"U629Ax","2012","male",6,"3","5",5,6,"1",1,1,1,1,1,2,1,1,1,1,1,2,1,2,3,3,1,2,1,2,2,2,2,2,2,4,1,1,2
"pFFSOV","2013","female",6,"3",NA,4,6,"1",1,1,1,1,1,1,1,3,1,2,1,1,3,1,2,1,2,3,2,2,1,2,2,2,2,2,3,1,1
"pnH3OJ","2013","male",6,"6","5",NA,5,"2",1,1,1,1,1,2,2,1,1,1,3,2,2,1,1,2,2,2,1,2,2,4,4,1,2,1,2,2,2
"cquVDL","2014","male",2,"6","5",7,8,"1",2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,3,1,1,1,2,2,1,1,1,1,2,2,1
"1VCKdr","2015","female",3,"6","4",7,6,"1",1,2,1,1,1,2,1,1,1,1,1,1,1,2,3,3,1,1,1,1,6,1,3,3,4,2,1,5,2
"VObRK2","2013","female",6,"5","4",7,7,"1",1,1,3,1,3,1,1,1,1,2,2,1,1,1,1,3,2,1,1,1,4,3,1,2,2,2,4,2,4
"xN6Y2P","2015","male",4,"6","5",NA,5,"2",3,3,2,1,1,1,1,1,1,1,1,1,2,2,2,2,4,1,3,1,4,2,2,2,2,1,1,1,2
"Zhe063","2012","female",4,"3","3",7,8,"1",1,1,1,1,2,1,2,1,1,1,3,1,1,3,1,3,1,1,3,1,1,1,2,4,3,1,4,1,2
"KJX7KE","2014","male",6,"5","5",7,8,"1",1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,3,2,1,5,5,2,4,2,2,1
"O1xkZI","2015","male",6,"6","5",4,3,"1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,3,1,2,4,4,4,5,1,1,2,2
"QeAEEJ","2015","female",6,"6","3",7,6,"1",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,3,1,2,4,2,4,2,1,1,2,2,4
"PPiQ2a","2015","female",4,"4","2",7,6,"1",2,1,1,1,1,1,1,3,1,1,1,1,1,2,2,3,3,1,2,2,2,3,1,2,2,2,1,1,2
"u3j3vH","2015","female",2,"3","1",NA,7,"2",1,1,3,1,1,3,1,1,2,1,3,1,1,1,1,1,2,3,3,1,1,2,1,5,3,4,4,2,2
"Ay0JyP","2012","female",6,"6","3",8,4,"1",1,1,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,1,2,5,4,1,2,2,1,2,3
"wBI7in","2013","female",1,"6","4",7,8,"1",1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,2,4,2,3,2,2,1,2,1,2,1,2,4,1
"Zancun","2012","female",2,"5","2",7,6,"1",1,1,1,2,1,3,1,1,1,1,1,1,1,2,1,3,2,2,1,2,1,1,1,2,1,1,1,1,2
"lw5CgP","2013","male",6,"3","5",8,5,"1",3,1,2,1,1,1,1,2,1,1,1,1,1,2,3,1,1,2,2,2,3,1,2,1,1,4,4,3,2
"eLBaBX","2014","male",6,"6","5",7,8,"1",1,1,3,1,1,2,1,1,2,1,1,1,1,2,1,2,1,1,1,2,2,2,1,5,4,1,2,1,3
"YWE56i","2012","female",6,"3","3",7,6,"1",1,1,2,1,1,3,3,1,1,1,1,2,1,2,1,1,2,1,2,1,1,2,3,4,2,4,1,1,2
"ndNLr5","2013","female",2,"6","5",5,5,"1",1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,3,2,2,1,3,4,4,2,1,1,1,2,2,4
"sMMPEJ","2014","female",6,"3","4",8,8,"1",1,3,1,3,2,2,1,1,2,1,1,2,1,2,2,3,2,1,2,1,1,1,1,1,2,4,2,2,1
